task_id,title,repeat,method,mode,success,answer_correct,tool_correct,final_format_correct,constraint_preserved,structure_safe,state_roundtrip,model_calls,tool_calls,tool_names,actual_input_tokens,actual_output_tokens,reasoning_tokens,sanitized_model_response_count,actual_peak_input_tokens,approximate_input_tokens,approximate_peak_input_tokens,latency_seconds,api_retry_count,api_request_attempts,restore_failure_count,unmatched_call_count,pending_view_count,resync_count,authoritative_resync_count,protected_group_count,hard_budget_violation_count,estimated_peak_model_input_tokens,estimated_peak_reserved_tokens,error_type,error_message,final_output
customer_migration,客户迁移窗口决策,0,none,api,True,True,True,True,True,True,True,3,2,"['lookup_migration_plan', 'check_region_capacity']",4445,279,0,3,1578,11451,4143,3.2161089000001084,0,3,0,0,0,2,0,3,0,3869,611,,,RESULT task=customer_migration decision=PROCEED evidence=Northstar plan=enterprise target_region=eu-west window=02:00 UTC; eu-west capacity=available headroom=28% required_decision=PROCEED
customer_migration,客户迁移窗口决策,0,pruner_v1,api,True,True,True,True,True,True,True,3,2,"['lookup_migration_plan', 'check_region_capacity']",4346,285,0,3,1514,10370,3654,3.0590035999775864,0,3,0,0,0,2,0,3,0,3709,714,,,RESULT task=customer_migration decision=PROCEED evidence=Northstar plan=enterprise target_region=eu-west window=02:00 UTC; eu-west capacity=available headroom=28% required_decision=PROCEED
customer_migration,客户迁移窗口决策,1,none,api,True,True,True,True,True,True,True,3,2,"['lookup_migration_plan', 'check_region_capacity']",4807,263,0,3,1708,12234,4434,2.7714625999797136,0,3,0,0,0,2,0,3,0,4118,702,,,RESULT task=customer_migration decision=PROCEED evidence=Northstar plan=enterprise target_region=eu-west window=02:00 UTC; eu-west capacity=available headroom=28% required_decision=PROCEED
customer_migration,客户迁移窗口决策,1,pruner_v1,api,True,True,True,True,True,True,True,3,2,"['lookup_migration_plan', 'check_region_capacity']",4627,324,0,3,1600,10781,3764,3.255643800017424,0,3,0,0,0,2,0,3,0,3818,670,,,RESULT task=customer_migration decision=PROCEED evidence=Northstar plan=enterprise target_region=eu-west window=02:00 UTC; eu-west capacity=available headroom=28% required_decision=PROCEED
customer_migration,客户迁移窗口决策,2,none,api,True,True,True,True,True,True,True,3,2,"['lookup_migration_plan', 'check_region_capacity']",5113,348,0,3,1810,12841,4637,3.675248499988811,0,3,0,0,0,2,0,3,0,4278,702,,,RESULT task=customer_migration decision=PROCEED evidence=Northstar plan=enterprise target_region=eu-west window=02:00 UTC; eu-west capacity=available headroom=28% required_decision=PROCEED
customer_migration,客户迁移窗口决策,2,pruner_v1,api,True,True,True,True,True,True,True,3,2,"['lookup_migration_plan', 'check_region_capacity']",4917,255,0,3,1696,11265,3928,2.923222599987639,0,3,0,0,0,2,0,3,0,3980,679,,,RESULT task=customer_migration decision=PROCEED evidence=Northstar plan=enterprise target_region=eu-west window=02:00 UTC; eu-west capacity=available headroom=28% required_decision=PROCEED
incident_triage,支付服务故障分诊,0,none,api,True,True,True,True,True,True,True,3,2,"['get_service_health', 'get_recent_deployment']",4487,337,0,2,1607,11519,4193,4.930752799991751,0,3,0,0,0,2,0,3,0,3917,654,,,RESULT task=incident_triage decision=ROLLBACK evidence=INC-2048 payments-api degraded error_rate_percent=3.8 threshold=2.0 release-2026.09.17 deployed_at=09:42 UTC rollback_safe=true recommended_action=rollback
incident_triage,支付服务故障分诊,0,pruner_v1,api,True,True,True,True,True,True,True,3,2,"['get_service_health', 'get_recent_deployment']",3014,355,0,3,1075,8223,2937,3.672912100009853,0,3,0,0,0,2,0,3,0,3016,708,,,RESULT task=incident_triage decision=ROLLBACK evidence=INC-2048 payments-api degraded error_rate_percent=3.8 threshold=2.0 release-2026.09.17 deployed 09:42 UTC rollback_safe=true recommended_action=rollback
incident_triage,支付服务故障分诊,1,none,api,True,True,True,True,True,True,True,3,2,"['get_service_health', 'get_recent_deployment']",4831,418,0,3,1736,12289,4509,3.4749356000102125,0,3,0,0,0,2,0,3,0,4190,769,,,RESULT task=incident_triage decision=ROLLBACK evidence=INC-2048 payments-api health degraded error_rate_percent 3.8 above threshold 2.0; release-2026.09.17 deployed 09:42 UTC rollback_safe true recommended_action rollback
incident_triage,支付服务故障分诊,1,pruner_v1,api,True,True,True,True,True,True,True,3,2,"['get_service_health', 'get_recent_deployment']",3135,384,0,3,1115,8410,2997,3.402889099990716,0,3,0,0,0,2,0,3,0,3076,701,,,RESULT task=incident_triage decision=ROLLBACK evidence=INC-2048 payments-api health degraded error_rate_percent 3.8 above threshold 2.0; latest release-2026.09.17 deployed 09:42 UTC rollback_safe true recommended_action rollback
